Age,M,F
0-4,1820023,1734583
5-9,2101236,1999215
10-14,2187183,2089016
15-19,2214964,2141775
20-24,2130186,2089911
25-29,2133013,2085098
30-34,2231627,2151909
35-39,1635119,1553686
40-44,1501694,1460980
45-49,1597500,1586439
50-54,1561794,1596541
55-59,1516227,1649408
60-64,879034,1007407
65-69,950917,1200416
70-74,866157,1222448
75-79,611958,1002067
80-84,319740,666891
85-89,115500,334166
90-94,31650,115489
95-99,4980,21098
100+,343,1621
