Age,M,F
0-4,1969361,1879051
5-9,1939527,1850658
10-14,1936964,1849514
15-19,2183298,2100907
20-24,2177431,2138433
25-29,2166786,2162934
30-34,2107022,2109134
35-39,2160123,2135585
40-44,2044759,1996689
45-49,1421335,1389319
50-54,1457653,1486813
55-59,1476341,1564539
60-64,1369894,1547866
65-69,1132810,1392381
70-74,603528,834963
75-79,672178,1066716
80-84,405686,796669
85-89,177364,445845
90-94,45909,160623
95-99,7654,36794
100+,473,2774
