Age,M,F
0-4,1960968,1869633
5-9,1884749,1796276
10-14,2155477,2052009
15-19,2195972,2116756
20-24,2190173,2154907
25-29,2108898,2095862
30-34,2147704,2113071
35-39,2164255,2101753
40-44,1511090,1454421
45-49,1486004,1477066
50-54,1548297,1580548
55-59,1474015,1573522
60-64,1347804,1548758
65-69,726180,902590
70-74,843534,1178749
75-79,637573,1045057
80-84,367433,740345
85-89,137469,378215
90-94,31501,125186
95-99,4940,23582
100+,402,2094
