Age,M,F
0-4,1930599,1840740
5-9,1932418,1840660
10-14,2177413,2075465
15-19,2195973,2120768
20-24,2179148,2143731
25-29,2106866,2087344
30-34,2169729,2124476
35-39,2070773,2001182
40-44,1455608,1401494
45-49,1512293,1505967
50-54,1559021,1592293
55-59,1482416,1590548
60-64,1264001,1451742
65-69,717347,902152
70-74,873572,1219931
75-79,629032,1030627
80-84,359937,719830
85-89,134469,367065
90-94,33794,126850
95-99,6907,28637
100+,387,1960
