Age,M,F
0-4,1879290,1791809
5-9,1995908,1900068
10-14,2184851,2084815
15-19,2201865,2129041
20-24,2163791,2127382
25-29,2110562,2082815
30-34,2203813,2147190
35-39,1932881,1857473
40-44,1445397,1395646
45-49,1541520,1535300
50-54,1562068,1595448
55-59,1503448,1622838
60-64,1138202,1304259
65-69,768250,972452
70-74,882616,1234898
75-79,622975,1019286
80-84,349813,700884
85-89,130185,357311
90-94,34342,126582
95-99,7149,28733
100+,372,1840
