Age,M,F
0-4,1863022,1777032
5-9,1963317,1874805
10-14,1966316,1878617
15-19,1925016,1857515
20-24,2143217,2102745
25-29,2148360,2146209
30-34,2164847,2180855
35-39,2102740,2121073
40-44,2135095,2132302
45-49,2004008,1982403
50-54,1378433,1372853
55-59,1391600,1461413
60-64,1374692,1525008
65-69,1233331,1486840
70-74,977099,1307967
75-79,471743,739375
80-84,459351,860502
85-89,213078,522611
90-94,64952,210118
95-99,11229,50763
100+,582,4088
