Age,M,F
0-4,1950069,1860256
5-9,1893528,1801473
10-14,1923772,1839830
15-19,2009730,1948447
20-24,1958298,1937158
25-29,1886748,1897540
30-34,2130352,2146996
35-39,2157043,2194348
40-44,2153391,2212422
45-49,2055339,2128812
50-54,2052800,2122412
55-59,1893573,1960673
60-64,1264268,1349509
65-69,1210979,1407575
70-74,1104269,1416575
75-79,871383,1279026
80-84,570260,990533
85-89,181268,414252
90-94,102104,301529
95-99,21305,88057
100+,1326,8749
