Age,M,F
0-4,2009696,1919798
5-9,2031652,1940614
10-14,2009505,1916549
15-19,1941096,1860598
20-24,1890686,1861552
25-29,1944617,1973453
30-34,1955286,2006990
35-39,1950188,1989750
40-44,2187163,2213755
45-49,2170285,2221081
50-54,2120268,2204555
55-59,1972479,2095690
60-64,1906055,2065538
65-69,1695284,1879248
70-74,1070306,1256597
75-79,937141,1242061
80-84,719342,1121569
85-89,411338,804985
90-94,158531,408249
95-99,23554,86074
100+,2871,17500
