Age,M,F
0-4,1848354,1758337
5-9,1914628,1828624
10-14,1990722,1905209
15-19,1899985,1835735
20-24,2006680,1970606
25-29,2128244,2123572
30-34,2160348,2180197
35-39,2122422,2155222
40-44,2084069,2110362
45-49,2145398,2153082
50-54,1663029,1659810
55-59,1323076,1370205
60-64,1339440,1477092
65-69,1235215,1466714
70-74,1077524,1437725
75-79,619463,924600
80-84,373115,704395
85-89,247331,574176
90-94,78195,246779
95-99,14038,61061
100+,717,5161
