Age,M,F
0-4,2033704,1938776
5-9,1863652,1778837
10-14,2052656,1958193
15-19,2189299,2110253
20-24,2189667,2152824
25-29,2130231,2124069
30-34,2112684,2098720
35-39,2214349,2169914
40-44,1744002,1687900
45-49,1425874,1407674
50-54,1504754,1537964
55-59,1469008,1560750
60-64,1397015,1600197
65-69,888664,1088648
70-74,713446,999152
75-79,661482,1062900
80-84,390149,766204
85-89,163961,416315
90-94,41576,150469
95-99,6763,32094
100+,435,2398
