Age,M,F
0-4,1908988,1825331
5-9,2022567,1934212
10-14,2035611,1943177
15-19,1966430,1887029
20-24,1867637,1832785
25-29,1867300,1897619
30-34,1964154,2033215
35-39,1956122,2021623
40-44,2017860,2061793
45-49,2190231,2233658
50-54,2142622,2218454
55-59,2041438,2161016
60-64,1885051,2053699
65-69,1809080,2029079
70-74,1444782,1675875
75-79,908651,1155277
80-84,734311,1088563
85-89,459006,837373
90-94,192557,462804
95-99,48462,156273
100+,2790,16007
