Age,M,F
0-4,1868017,1779084
5-9,2126999,2023579
10-14,2189053,2090416
15-19,2209863,2135198
20-24,2118362,2074353
25-29,2148647,2089952
30-34,2181769,2092453
35-39,1539272,1457927
40-44,1530334,1491482
45-49,1618103,1604268
50-54,1567831,1605544
55-59,1467286,1595889
60-64,820159,945767
65-69,1016096,1280025
70-74,861162,1219548
75-79,600795,991497
80-84,300784,649618
85-89,104210,316758
90-94,28374,103036
95-99,4250,18404
100+,327,1515
