Age,M,F
0-4,1846711,1758324
5-9,1931040,1845022
10-14,1991887,1904597
15-19,1887016,1821467
20-24,2067380,2029018
25-29,2130175,2127735
30-34,2169851,2188578
35-39,2110946,2139781
40-44,2097040,2113508
45-49,2141472,2138484
50-54,1527755,1519562
55-59,1349015,1404356
60-64,1355523,1497283
65-69,1230633,1466240
70-74,1071579,1435166
75-79,539632,811711
80-84,415439,782782
85-89,232431,555738
90-94,72992,235978
95-99,10935,51832
100+,663,4777
