Age,M,F
0-4,2014491,1925224
5-9,1975958,1886531
10-14,1955494,1861083
15-19,1937018,1862921
20-24,1969493,1946040
25-29,1950978,1974732
30-34,1884139,1918570
35-39,2146283,2166757
40-44,2174850,2213119
45-49,2160074,2225664
50-54,2031617,2124994
55-59,1977639,2088684
60-64,1889478,2021226
65-69,1231727,1363845
70-74,1081618,1321572
75-79,938091,1300957
80-84,663562,1095733
85-89,368297,772082
90-94,82667,238406
95-99,22912,99029
100+,2153,13827
