Age,M,F
0-4,1881963,1795515
5-9,1993506,1902683
10-14,1908500,1824415
15-19,2046312,1972585
20-24,2166207,2124418
25-29,2175544,2171067
30-34,2133005,2147060
35-39,2109913,2114023
40-44,2191959,2169499
45-49,1712370,1678074
50-54,1382493,1392201
55-59,1433751,1513784
60-64,1367016,1523821
65-69,1254864,1536304
70-74,767815,1023980
75-79,551975,878937
80-84,445569,844446
85-89,203235,496349
90-94,59440,195487
95-99,9332,43771
100+,531,3494
