Age,M,F
0-4,1906245,1818880
5-9,1989192,1898369
10-14,1896165,1812031
15-19,2110672,2031737
20-24,2168374,2127115
25-29,2180157,2176045
30-34,2117937,2129796
35-39,2121764,2116941
40-44,2187125,2154702
45-49,1573412,1536572
50-54,1410094,1427773
55-59,1452632,1535569
60-64,1363201,1524376
65-69,1246654,1532348
70-74,672050,901654
75-79,610754,970019
80-84,428368,826833
85-89,193851,480862
90-94,53282,182660
95-99,7123,36505
100+,511,3230
