Age,M,F
0-4,1962100,1872482
5-9,1905736,1812100
10-14,1918990,1831999
15-19,2009156,1944862
20-24,1985178,1964008
25-29,1862134,1877121
30-34,2107041,2124714
35-39,2156882,2191853
40-44,2168610,2226091
45-49,2063690,2140757
50-54,2038126,2115256
55-59,1982736,2061369
60-64,1323371,1406118
65-69,1201830,1387756
70-74,1109372,1416694
75-79,881359,1283408
80-84,605501,1056551
85-89,195943,436471
90-94,93439,290997
95-99,17504,79917
100+,1446,9460
