Age,M,F
0-4,1929835,1836838
5-9,1864387,1775354
10-14,1944783,1862750
15-19,2004512,1942956
20-24,1882964,1859940
25-29,1990743,1991220
30-34,2131197,2148926
35-39,2163109,2202371
40-44,2107505,2165364
45-49,2051706,2110191
50-54,2094364,2144671
55-59,1608892,1650267
60-64,1253875,1354151
65-69,1229270,1440974
70-74,1081243,1396842
75-79,868606,1296739
80-84,448793,776774
85-89,204926,480108
90-94,100894,298848
95-99,18620,79287
100+,1110,7527
