Age,M,F
0-4,1974022,1886199
5-9,2032041,1941274
10-14,2028865,1936524
15-19,1957746,1875738
20-24,1870874,1837657
25-29,1910098,1940012
30-34,1975385,2035792
35-39,1916865,1968992
40-44,2129974,2161406
45-49,2174465,2219997
50-54,2144364,2222705
55-59,1997877,2119511
60-64,1887227,2051326
65-69,1814558,2025223
70-74,1205169,1397188
75-79,926954,1200967
80-84,731588,1112332
85-89,436816,825365
90-94,182222,460298
95-99,28588,103001
100+,2939,17446
