Age,M,F
0-4,1870230,1784148
5-9,1983118,1893141
10-14,1936633,1851058
15-19,1978125,1908670
20-24,2160499,2118908
25-29,2163049,2159335
30-34,2150553,2165764
35-39,2103691,2115646
40-44,2166200,2153809
45-49,1868852,1839987
50-54,1364856,1366159
55-59,1412856,1488738
60-64,1372832,1526643
65-69,1244300,1512529
70-74,880419,1175244
75-79,496244,788503
80-84,459025,860140
85-89,208650,508569
90-94,63683,204649
95-99,11069,49519
100+,553,3779
