Age,M,F
0-4,1944835,1858816
5-9,2028942,1939031
10-14,2031683,1939499
15-19,1960789,1880694
20-24,1868203,1834553
25-29,1890981,1920948
30-34,1973570,2038005
35-39,1930029,1988695
40-44,2076992,2114281
45-49,2182696,2226974
50-54,2145039,2222216
55-59,2018038,2139103
60-64,1883621,2050232
65-69,1822488,2040031
70-74,1318762,1527290
75-79,913767,1172992
80-84,732398,1099418
85-89,449157,831207
90-94,189523,464524
95-99,39859,133028
100+,2864,16740
