Age,M,F
0-4,2003720,1915919
5-9,1953814,1862178
10-14,1928106,1837768
15-19,1952017,1887083
20-24,1992086,1972515
25-29,1912969,1932060
30-34,1960400,1985777
35-39,2171373,2195876
40-44,2174615,2222469
45-49,2121368,2195633
50-54,2017430,2110545
55-59,2014382,2119229
60-64,1683414,1790704
65-69,1159032,1304224
70-74,1094545,1364571
75-79,917596,1297261
80-84,641566,1084275
85-89,314049,650180
90-94,79661,234490
95-99,28936,111544
100+,1844,11983
