Age,M,F
0-4,1911980,1818135
5-9,1858340,1770043
10-14,1956429,1873315
15-19,1996702,1932318
20-24,1860075,1835489
25-29,2042590,2039501
30-34,2125996,2144811
35-39,2164352,2203391
40-44,2088931,2143602
45-49,2059351,2107759
50-54,2086251,2124375
55-59,1474327,1506835
60-64,1274048,1382925
65-69,1238031,1454742
70-74,1071569,1390376
75-79,861367,1292522
80-84,385985,677940
85-89,227513,533937
90-94,91630,284360
95-99,15142,69128
100+,1016,6995
