Age,M,F
0-4,1944184,1855355
5-9,1971753,1881453
10-14,1906483,1820155
15-19,2158209,2074690
20-24,2172149,2131919
25-29,2174602,2171734
30-34,2108976,2117222
35-39,2138257,2123742
40-44,2137259,2095685
45-49,1477346,1441039
50-54,1433848,1457702
55-59,1468152,1553381
60-64,1365035,1532754
65-69,1207359,1485056
70-74,617656,840585
75-79,650871,1034104
80-84,413674,814763
85-89,180129,460967
90-94,44663,162823
95-99,5852,31793
100+,492,2989
