Age,M,F
0-4,1868887,1776591
5-9,1876268,1788762
10-14,1976147,1891679
15-19,1960245,1894365
20-24,1888544,1859549
25-29,2108982,2102802
30-34,2135000,2155276
35-39,2152109,2189174
40-44,2075770,2118965
45-49,2091879,2119677
50-54,1948737,1963525
55-59,1323833,1355546
60-64,1306468,1431494
65-69,1247085,1473093
70-74,1064857,1399581
75-79,786661,1180375
80-84,322129,597876
85-89,254681,587913
90-94,80764,256579
95-99,16386,69260
100+,850,6017
