Age,M,F
0-4,1990811,1902018
5-9,2033212,1942109
10-14,2027014,1933550
15-19,1955823,1871403
20-24,1876337,1843259
25-29,1922794,1952920
30-34,1968157,2025131
35-39,1924685,1970503
40-44,2166031,2193100
45-49,2171366,2217994
50-54,2137277,2216705
55-59,1984322,2105541
60-64,1895192,2056460
65-69,1773268,1972036
70-74,1124750,1309544
75-79,936746,1226284
80-84,730627,1126608
85-89,422741,820728
90-94,165144,434882
95-99,21514,83932
100+,2947,17729
