Age,M,F
0-4,1855390,1769087
5-9,1943698,1856774
10-14,1985162,1895559
15-19,1897427,1829278
20-24,2110697,2071880
25-29,2135215,2134926
30-34,2171497,2188681
35-39,2106246,2129406
40-44,2114542,2120623
45-49,2094150,2080536
50-54,1434329,1424785
55-59,1371663,1433425
60-64,1369493,1514481
65-69,1231802,1474156
70-74,1041070,1394929
75-79,490625,752638
80-84,443630,838847
85-89,217431,539249
90-94,63588,215332
95-99,9006,45592
100+,618,4420
