Age,M,F
0-4,1993869,1906570
5-9,1938827,1846303
10-14,1918179,1829797
15-19,1970619,1907781
20-24,1998892,1979549
25-29,1883273,1900701
30-34,2019645,2040988
35-39,2165604,2194004
40-44,2177668,2229528
45-49,2097239,2174411
50-54,2018784,2108451
55-59,2034185,2133385
60-64,1540631,1634970
65-69,1169043,1327446
70-74,1100571,1384293
75-79,903365,1289000
80-84,635963,1088366
85-89,274200,569045
90-94,85409,256745
95-99,25779,103347
100+,1705,11098
