Age,M,F
0-4,1830548,1745207
5-9,2056547,1957022
10-14,2186061,2087429
15-19,2210590,2138301
20-24,2146230,2108307
25-29,2119719,2082280
30-34,2233594,2165141
35-39,1774704,1695225
40-44,1468368,1423639
45-49,1571078,1562875
50-54,1560959,1594419
55-59,1523076,1652543
60-64,995210,1138385
65-69,859153,1087542
70-74,876011,1230807
75-79,618342,1010623
80-84,336301,683459
85-89,124286,347567
90-94,33435,122661
95-99,6255,25483
100+,358,1728
