Age,M,F
0-4,1850423,1769564
5-9,1995914,1911573
10-14,2044727,1950961
15-19,1985946,1901843
20-24,1868952,1828067
25-29,1822073,1851937
30-34,1931949,2009584
35-39,1995352,2074165
40-44,1943640,1999757
45-49,2169139,2213131
50-54,2146431,2216970
55-59,2079208,2192447
60-64,1902791,2070456
65-69,1785851,2005687
70-74,1627196,1896420
75-79,981805,1222283
80-84,740347,1071980
85-89,475731,854083
90-94,194367,470532
95-99,44359,156426
100+,2993,16450
