Age,M,F
0-4,2027280,1935871
5-9,2009432,1920246
10-14,1975610,1882539
15-19,1924006,1849461
20-24,1934033,1909858
25-29,1968874,1994679
30-34,1898442,1941022
35-39,2055007,2082813
40-44,2185232,2216841
45-49,2172914,2231868
50-54,2069418,2161463
55-59,1963247,2084054
60-64,1941470,2093813
65-69,1441672,1589926
70-74,1056542,1265458
75-79,937548,1272604
80-84,689826,1103230
85-89,397148,799447
90-94,126472,326618
95-99,22345,87462
100+,2536,15893
