Age,M,F
0-4,2024952,1933859
5-9,1992804,1903901
10-14,1963185,1869656
15-19,1926395,1852693
20-24,1954506,1931053
25-29,1965405,1990061
30-34,1880462,1918904
35-39,2108389,2131587
40-44,2177451,2212542
45-49,2169735,2232244
50-54,2046372,2140081
55-59,1967468,2084121
60-64,1933510,2077398
65-69,1318615,1454839
70-74,1070763,1295205
75-79,937808,1286795
80-84,675533,1096463
85-89,386444,792728
90-94,104802,280677
95-99,22254,93399
100+,2335,14834
