Age,M,F
0-4,1856626,1765321
5-9,1895399,1808808
10-14,1984213,1899738
15-19,1929078,1864561
20-24,1940815,1908265
25-29,2123956,2117792
30-34,2146808,2167197
35-39,2137879,2173238
40-44,2076966,2112306
45-49,2120681,2138632
50-54,1815808,1820761
55-59,1307761,1346272
60-64,1322646,1454857
65-69,1242397,1471400
70-74,1070269,1418115
75-79,710124,1061208
80-84,334910,630908
85-89,256269,587249
90-94,80943,253261
95-99,16359,68096
100+,779,5573
