Age,M,F
0-4,1940739,1849480
5-9,1877653,1787265
10-14,1933166,1850878
15-19,2008340,1947993
20-24,1920986,1899073
25-29,1933259,1938817
30-34,2136274,2153100
35-39,2159587,2198333
40-44,2131465,2190679
45-49,2050985,2118084
50-54,2076070,2136829
55-59,1761262,1815101
60-64,1244320,1335948
65-69,1220368,1425559
70-74,1093973,1408391
75-79,868529,1286296
80-84,515942,892011
85-89,185370,431968
90-94,104927,304981
95-99,21260,87009
100+,1214,8106
