Age,M,F
0-4,2005937,1913118
5-9,1895583,1809121
10-14,1990571,1900154
15-19,2191497,2110849
20-24,2184064,2146070
25-29,2150506,2145680
30-34,2107565,2102285
35-39,2190440,2155833
40-44,1905049,1852018
45-49,1407742,1382252
50-54,1481735,1513917
55-59,1475138,1565140
60-64,1384233,1575565
65-69,1019221,1249810
70-74,640786,895686
75-79,674067,1073830
80-84,398120,780314
85-89,172090,431107
90-94,44839,157356
95-99,7727,36291
100+,454,2577
