Age,M,F
0-4,2023849,1929067
5-9,1859227,1773933
10-14,2109187,2010325
15-19,2188524,2110002
20-24,2191927,2156150
25-29,2114393,2105727
30-34,2125739,2101918
35-39,2209741,2155925
40-44,1603805,1546591
45-49,1456165,1443932
50-54,1526911,1559931
55-59,1466837,1561609
60-64,1389017,1596225
65-69,781549,961543
70-74,788781,1102768
75-79,646725,1049898
80-84,380393,753539
85-89,152042,398563
90-94,37261,140567
95-99,5551,26778
100+,418,2238
