Age,M,F
0-4,1883620,1790587
5-9,1861132,1772686
10-14,1967775,1882194
15-19,1983924,1916093
20-24,1861701,1835039
25-29,2079330,2074773
30-34,2127625,2147411
35-39,2161578,2199833
40-44,2080478,2129942
45-49,2074355,2111696
50-54,2039333,2064110
55-59,1382118,1410479
60-64,1292470,1408538
65-69,1246872,1467873
70-74,1068767,1394745
75-79,837765,1260385
80-84,342449,621229
85-89,241046,571379
90-94,79136,261801
95-99,13040,62356
100+,930,6498
