Age,M,F
0-4,2022133,1931299
5-9,2023134,1933021
10-14,1991622,1898763
15-19,1929712,1852771
20-24,1911224,1885116
25-29,1961049,1988278
30-34,1928560,1975502
35-39,1996762,2030277
40-44,2191801,2220186
45-49,2171663,2226650
50-54,2096268,2184960
55-59,1965212,2088309
60-64,1925616,2082610
65-69,1578338,1744143
70-74,1050497,1245616
75-79,937472,1257795
80-84,705292,1113020
85-89,403544,799818
90-94,145630,371568
95-99,23191,85521
100+,2727,16850
