Age,M,F
0-4,2010191,1921660
5-9,1966411,1875928
10-14,1941438,1848980
15-19,1940156,1871275
20-24,1981113,1960266
25-29,1938144,1959532
30-34,1911918,1941824
35-39,2166843,2188399
40-44,2172703,2215998
45-49,2143474,2213766
50-54,2021772,2116163
55-59,1990978,2099455
60-64,1806526,1927317
65-69,1176628,1312438
70-74,1087941,1343247
75-79,929713,1302098
80-84,650005,1085040
85-89,346732,722315
90-94,77324,223950
95-99,28244,110087
100+,1993,12898
